id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Midnight Drive,Neon Vale,synthpop,nostalgic,0.72,118,0.61,0.74,0.08
2,Paper Lanterns,Kaito Mori,lofi,calm,0.28,72,0.45,0.55,0.82
3,Rooftop Sunrise,Ella Brooke,pop,happy,0.81,124,0.86,0.83,0.12
4,Static Bloom,Greyline,rock,intense,0.93,148,0.34,0.52,0.05
5,Slow Tide,Kaito Mori,lofi,sleepy,0.19,64,0.38,0.41,0.88
6,Glass Hearts,Ella Brooke,pop,bittersweet,0.58,102,0.52,0.69,0.22
7,Concrete Jungle,Greyline,rock,angry,0.96,160,0.28,0.48,0.03
8,Cafe Window,Nora Lin,lofi,cozy,0.31,78,0.6,0.58,0.79
9,Electric Youth,Neon Vale,synthpop,euphoric,0.88,128,0.79,0.85,0.06
10,Rainy Commute,Nora Lin,lofi,melancholy,0.24,70,0.32,0.49,0.85
11,Golden Hour,Ella Brooke,pop,warm,0.66,116,0.78,0.77,0.18
12,Ashfall,Greyline,rock,brooding,0.74,132,0.3,0.51,0.09
13,Study Loop,Kaito Mori,lofi,focused,0.35,82,0.5,0.53,0.76
14,Neon Rain,Neon Vale,synthpop,moody,0.63,110,0.44,0.7,0.11
15,Wildfire,Ellabrooke,pop,confident,0.84,122,0.72,0.81,0.14
16,Deep End,Greyline,rock,desperate,0.89,144,0.25,0.5,0.07
17,Soft Focus,Nora Lin,lofi,dreamy,0.3,74,0.55,0.52,0.8
18,Overdrive,Neon Vale,synthpop,restless,0.9,130,0.58,0.82,0.05
19,Lantern Festival,Kaito Mori,lofi,hopeful,0.4,88,0.65,0.6,0.7
